user_id,session_id,unit_id,unit_text,human_label,llm_predicted,llm_accepted_final,human_llm_agree,human_final_agree,llm_mode,llm_model
Lei,b1f1ca7b-3e68-4ffa-99d8-b3bc29124882,essay0003_sentence01,"Bias in AI systems occurs when training data reflects historical prejudices, leading to unfair or discriminatory outputs.",RESPONSIBILITY,EXPLANATION,EVALUATION,0,0,prompt1,qwen-plus
Lei,b1f1ca7b-3e68-4ffa-99d8-b3bc29124882,essay0003_sentence02,"Current AI language models can generate highly convincing text, but they lack genuine understanding of meaning and context.",RESPONSIBILITY,EVALUATION,EXPLANATION,0,0,prompt1,qwen-plus
Lei,b1f1ca7b-3e68-4ffa-99d8-b3bc29124882,essay0003_sentence03,Developers have an ethical obligation to test their AI systems for bias and to implement safeguards against misuse.,EXPLANATION,RESPONSIBILITY,RESPONSIBILITY,0,0,prompt1,qwen-plus
Lei,b1f1ca7b-3e68-4ffa-99d8-b3bc29124882,essay0003_sentence04,Citizens can use fact-checking AI tools to verify the accuracy of news articles and social media posts before sharing them.,APPLICATION,APPLICATION,APPLICATION,1,1,prompt1,qwen-plus
Lei,b1f1ca7b-3e68-4ffa-99d8-b3bc29124882,essay0003_sentence05,"Without proper governance frameworks, the rapid deployment of AI could undermine democratic processes and concentrate power in the hands of a few technology companies.",IMPLICATION,IMPLICATION,IMPLICATION,1,1,prompt1,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0001_sentence01,"AI literacy refers to the set of competencies that enable individuals to critically evaluate, effectively communicate with, and responsibly use artificial intelligence technologies.",EXPLANATION,EXPLANATION,EXPLANATION,1,1,prompt1,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0001_sentence02,Research shows that people with higher AI literacy tend to make better-informed decisions when interacting with AI-powered systems.,EVALUATION,EVALUATION,EVALUATION,1,1,prompt1,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0001_sentence03,Educational institutions should integrate AI literacy into their core curriculum starting from middle school.,RESPONSIBILITY,RESPONSIBILITY,RESPONSIBILITY,1,1,prompt1,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0001_sentence04,Teachers can leverage AI-powered tools to create personalized learning experiences and adaptive assessments for their students.,APPLICATION,APPLICATION,APPLICATION,1,1,prompt1,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0001_sentence05,"As AI continues to advance, the gap between AI-literate and AI-illiterate populations may create new forms of digital inequality.",IMPLICATION,IMPLICATION,IMPLICATION,1,1,prompt1,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0002_sentence01,Machine learning algorithms work by identifying patterns in large datasets and using those patterns to make predictions or decisions.,EXPLANATION,EXPLANATION,EXPLANATION,1,1,prompt2,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0002_sentence02,"While AI chatbots can handle routine customer inquiries efficiently, they often struggle with nuanced or emotionally sensitive conversations.",EVALUATION,EVALUATION,EVALUATION,1,1,prompt2,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0002_sentence03,Companies must ensure transparency in how they use AI systems to make hiring and promotion decisions.,RESPONSIBILITY,RESPONSIBILITY,RESPONSIBILITY,1,1,prompt2,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0002_sentence04,Healthcare professionals are using AI-assisted diagnostic tools to detect diseases earlier and improve patient outcomes.,IMPLICATION,APPLICATION,APPLICATION,0,0,prompt2,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0002_sentence05,The widespread adoption of AI in creative industries may fundamentally reshape how we define authorship and intellectual property.,IMPLICATION,IMPLICATION,IMPLICATION,1,1,prompt2,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0003_sentence01,"Bias in AI systems occurs when training data reflects historical prejudices, leading to unfair or discriminatory outputs.",EXPLANATION,EXPLANATION,EXPLANATION,1,1,prompt2,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0003_sentence02,"Current AI language models can generate highly convincing text, but they lack genuine understanding of meaning and context.",EVALUATION,EVALUATION,EVALUATION,1,1,prompt2,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0003_sentence03,Developers have an ethical obligation to test their AI systems for bias and to implement safeguards against misuse.,RESPONSIBILITY,RESPONSIBILITY,RESPONSIBILITY,1,1,prompt2,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0003_sentence04,Citizens can use fact-checking AI tools to verify the accuracy of news articles and social media posts before sharing them.,APPLICATION,APPLICATION,APPLICATION,1,1,prompt2,qwen-plus
Steve,7355251d-990d-4bd5-a322-90a3e725fe6b,essay0003_sentence05,"Without proper governance frameworks, the rapid deployment of AI could undermine democratic processes and concentrate power in the hands of a few technology companies.",IMPLICATION,IMPLICATION,IMPLICATION,1,1,prompt2,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0001_sentence01,"AI literacy refers to the set of competencies that enable individuals to critically evaluate, effectively communicate with, and responsibly use artificial intelligence technologies.",EXPLANATION,EXPLANATION,EXPLANATION,1,1,prompt1,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0001_sentence02,Research shows that people with higher AI literacy tend to make better-informed decisions when interacting with AI-powered systems.,EXPLANATION,EVALUATION,EVALUATION,0,0,prompt1,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0001_sentence03,Educational institutions should integrate AI literacy into their core curriculum starting from middle school.,APPLICATION,RESPONSIBILITY,RESPONSIBILITY,0,0,prompt1,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0001_sentence04,Teachers can leverage AI-powered tools to create personalized learning experiences and adaptive assessments for their students.,EVALUATION,APPLICATION,APPLICATION,0,0,prompt1,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0001_sentence05,"As AI continues to advance, the gap between AI-literate and AI-illiterate populations may create new forms of digital inequality.",IMPLICATION,IMPLICATION,IMPLICATION,1,1,prompt1,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0002_sentence01,Machine learning algorithms work by identifying patterns in large datasets and using those patterns to make predictions or decisions.,EXPLANATION,EXPLANATION,,1,0,prompt1,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0002_sentence01,Machine learning algorithms work by identifying patterns in large datasets and using those patterns to make predictions or decisions.,EXPLANATION,EXPLANATION,EXPLANATION,1,1,prompt2,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0002_sentence02,"While AI chatbots can handle routine customer inquiries efficiently, they often struggle with nuanced or emotionally sensitive conversations.",EVALUATION,EVALUATION,,1,0,prompt1,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0002_sentence02,"While AI chatbots can handle routine customer inquiries efficiently, they often struggle with nuanced or emotionally sensitive conversations.",EVALUATION,EVALUATION,EVALUATION,1,1,prompt2,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0002_sentence03,Companies must ensure transparency in how they use AI systems to make hiring and promotion decisions.,EXPLANATION,RESPONSIBILITY,,0,0,prompt1,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0002_sentence03,Companies must ensure transparency in how they use AI systems to make hiring and promotion decisions.,EXPLANATION,RESPONSIBILITY,RESPONSIBILITY,0,0,prompt2,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0002_sentence04,Healthcare professionals are using AI-assisted diagnostic tools to detect diseases earlier and improve patient outcomes.,APPLICATION,APPLICATION,,1,0,prompt1,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0002_sentence04,Healthcare professionals are using AI-assisted diagnostic tools to detect diseases earlier and improve patient outcomes.,APPLICATION,APPLICATION,APPLICATION,1,1,prompt2,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0002_sentence05,The widespread adoption of AI in creative industries may fundamentally reshape how we define authorship and intellectual property.,APPLICATION,IMPLICATION,,0,0,prompt1,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0002_sentence05,The widespread adoption of AI in creative industries may fundamentally reshape how we define authorship and intellectual property.,APPLICATION,IMPLICATION,IMPLICATION,0,0,prompt2,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0003_sentence01,"Bias in AI systems occurs when training data reflects historical prejudices, leading to unfair or discriminatory outputs.",RESPONSIBILITY,EXPLANATION,EXPLANATION,0,0,prompt2,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0003_sentence02,"Current AI language models can generate highly convincing text, but they lack genuine understanding of meaning and context.",EXPLANATION,EVALUATION,EVALUATION,0,0,prompt2,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0003_sentence03,Developers have an ethical obligation to test their AI systems for bias and to implement safeguards against misuse.,EXPLANATION,RESPONSIBILITY,RESPONSIBILITY,0,0,prompt2,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0003_sentence04,Citizens can use fact-checking AI tools to verify the accuracy of news articles and social media posts before sharing them.,APPLICATION,APPLICATION,APPLICATION,1,1,prompt2,qwen-plus
job,b53479f7-2a8e-43ee-b8e0-7ca5ecec7da0,essay0003_sentence05,"Without proper governance frameworks, the rapid deployment of AI could undermine democratic processes and concentrate power in the hands of a few technology companies.",IMPLICATION,IMPLICATION,IMPLICATION,1,1,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0001_sentence01,"AI literacy refers to the set of competencies that enable individuals to critically evaluate, effectively communicate with, and responsibly use artificial intelligence technologies.",EXPLANATION,CODE,EXPLANATION,0,1,prompt1,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0001_sentence01,"AI literacy refers to the set of competencies that enable individuals to critically evaluate, effectively communicate with, and responsibly use artificial intelligence technologies.",EXPLANATION,CODE,,0,0,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0001_sentence02,Research shows that people with higher AI literacy tend to make better-informed decisions when interacting with AI-powered systems.,EXPLANATION,EVALUATION,EVALUATION,0,0,prompt1,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0001_sentence02,Research shows that people with higher AI literacy tend to make better-informed decisions when interacting with AI-powered systems.,EXPLANATION,IMPLICATION,,0,0,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0001_sentence03,Educational institutions should integrate AI literacy into their core curriculum starting from middle school.,APPLICATION,RESPONSIBILITY,RESPONSIBILITY,0,0,prompt1,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0001_sentence03,Educational institutions should integrate AI literacy into their core curriculum starting from middle school.,APPLICATION,RESPONSIBILITY,,0,0,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0001_sentence04,Teachers can leverage AI-powered tools to create personalized learning experiences and adaptive assessments for their students.,EVALUATION,APPLICATION,APPLICATION,0,0,prompt1,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0001_sentence04,Teachers can leverage AI-powered tools to create personalized learning experiences and adaptive assessments for their students.,EVALUATION,APPLICATION,,0,0,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0001_sentence05,"As AI continues to advance, the gap between AI-literate and AI-illiterate populations may create new forms of digital inequality.",IMPLICATION,IMPLICATION,IMPLICATION,1,1,prompt1,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0001_sentence05,"As AI continues to advance, the gap between AI-literate and AI-illiterate populations may create new forms of digital inequality.",IMPLICATION,IMPLICATION,,1,0,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0002_sentence01,Machine learning algorithms work by identifying patterns in large datasets and using those patterns to make predictions or decisions.,EXPLANATION,EXPLANATION,,1,0,prompt1,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0002_sentence01,Machine learning algorithms work by identifying patterns in large datasets and using those patterns to make predictions or decisions.,EXPLANATION,EXPLANATION,EXPLANATION,1,1,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0002_sentence02,"While AI chatbots can handle routine customer inquiries efficiently, they often struggle with nuanced or emotionally sensitive conversations.",IMPLICATION,EVALUATION,,0,0,prompt1,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0002_sentence02,"While AI chatbots can handle routine customer inquiries efficiently, they often struggle with nuanced or emotionally sensitive conversations.",IMPLICATION,EVALUATION,EVALUATION,0,0,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0002_sentence03,Companies must ensure transparency in how they use AI systems to make hiring and promotion decisions.,EVALUATION,RESPONSIBILITY,,0,0,prompt1,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0002_sentence03,Companies must ensure transparency in how they use AI systems to make hiring and promotion decisions.,EVALUATION,RESPONSIBILITY,RESPONSIBILITY,0,0,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0002_sentence04,Healthcare professionals are using AI-assisted diagnostic tools to detect diseases earlier and improve patient outcomes.,RESPONSIBILITY,APPLICATION,,0,0,prompt1,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0002_sentence04,Healthcare professionals are using AI-assisted diagnostic tools to detect diseases earlier and improve patient outcomes.,RESPONSIBILITY,APPLICATION,APPLICATION,0,0,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0002_sentence05,The widespread adoption of AI in creative industries may fundamentally reshape how we define authorship and intellectual property.,IMPLICATION,IMPLICATION,,1,0,prompt1,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0002_sentence05,The widespread adoption of AI in creative industries may fundamentally reshape how we define authorship and intellectual property.,IMPLICATION,IMPLICATION,IMPLICATION,1,1,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0003_sentence01,"Bias in AI systems occurs when training data reflects historical prejudices, leading to unfair or discriminatory outputs.",RESPONSIBILITY,EXPLANATION,EXPLANATION,0,0,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0003_sentence02,"Current AI language models can generate highly convincing text, but they lack genuine understanding of meaning and context.",IMPLICATION,EVALUATION,EVALUATION,0,0,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0003_sentence03,Developers have an ethical obligation to test their AI systems for bias and to implement safeguards against misuse.,EXPLANATION,RESPONSIBILITY,RESPONSIBILITY,0,0,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0003_sentence04,Citizens can use fact-checking AI tools to verify the accuracy of news articles and social media posts before sharing them.,APPLICATION,APPLICATION,APPLICATION,1,1,prompt2,qwen-plus
landy,9170a8f4-a57b-4ee6-af19-3a173885911d,essay0003_sentence05,"Without proper governance frameworks, the rapid deployment of AI could undermine democratic processes and concentrate power in the hands of a few technology companies.",IMPLICATION,IMPLICATION,IMPLICATION,1,1,prompt2,qwen-plus
momo,b74791d6-56db-42c6-8627-334bf28562bc,essay0001_sentence01,"AI literacy refers to the set of competencies that enable individuals to critically evaluate, effectively communicate with, and responsibly use artificial intelligence technologies.",EXPLANATION,CODE,CODE,0,0,prompt1,qwen-plus
momo,b74791d6-56db-42c6-8627-334bf28562bc,essay0001_sentence02,Research shows that people with higher AI literacy tend to make better-informed decisions when interacting with AI-powered systems.,EVALUATION,EVALUATION,EVALUATION,1,1,prompt1,qwen-plus
momo,b74791d6-56db-42c6-8627-334bf28562bc,essay0001_sentence03,Educational institutions should integrate AI literacy into their core curriculum starting from middle school.,APPLICATION,RESPONSIBILITY,RESPONSIBILITY,0,0,prompt1,qwen-plus
momo,b74791d6-56db-42c6-8627-334bf28562bc,essay0001_sentence04,Teachers can leverage AI-powered tools to create personalized learning experiences and adaptive assessments for their students.,APPLICATION,APPLICATION,APPLICATION,1,1,prompt1,qwen-plus
momo,b74791d6-56db-42c6-8627-334bf28562bc,essay0001_sentence05,"As AI continues to advance, the gap between AI-literate and AI-illiterate populations may create new forms of digital inequality.",APPLICATION,IMPLICATION,IMPLICATION,0,0,prompt1,qwen-plus
momo,b74791d6-56db-42c6-8627-334bf28562bc,essay0002_sentence01,Machine learning algorithms work by identifying patterns in large datasets and using those patterns to make predictions or decisions.,EVALUATION,EXPLANATION,,0,0,prompt1,qwen-plus
momo,b74791d6-56db-42c6-8627-334bf28562bc,essay0002_sentence02,"While AI chatbots can handle routine customer inquiries efficiently, they often struggle with nuanced or emotionally sensitive conversations.",APPLICATION,EVALUATION,,0,0,prompt1,qwen-plus
momo,b74791d6-56db-42c6-8627-334bf28562bc,essay0002_sentence03,Companies must ensure transparency in how they use AI systems to make hiring and promotion decisions.,EVALUATION,RESPONSIBILITY,,0,0,prompt1,qwen-plus
momo,b74791d6-56db-42c6-8627-334bf28562bc,essay0002_sentence04,Healthcare professionals are using AI-assisted diagnostic tools to detect diseases earlier and improve patient outcomes.,APPLICATION,APPLICATION,,1,0,prompt1,qwen-plus
