unit_id,unit_text,label,annotator_count,pct
essay0002_sentence01,Machine learning algorithms work by identifying patterns in large datasets and using those patterns to make predictions or decisions.,IMPLICATION,2,2.9
essay0002_sentence01,Machine learning algorithms work by identifying patterns in large datasets and using those patterns to make predictions or decisions.,APPLICATION,1,1.5
essay0002_sentence02,"While AI chatbots can handle routine customer inquiries efficiently, they often struggle with nuanced or emotionally sensitive conversations.",EVALUATION,32,48.5
essay0002_sentence02,"While AI chatbots can handle routine customer inquiries efficiently, they often struggle with nuanced or emotionally sensitive conversations.",EXPLANATION,13,19.7
essay0002_sentence02,"While AI chatbots can handle routine customer inquiries efficiently, they often struggle with nuanced or emotionally sensitive conversations.",APPLICATION,8,12.1
essay0002_sentence02,"While AI chatbots can handle routine customer inquiries efficiently, they often struggle with nuanced or emotionally sensitive conversations.",IMPLICATION,7,10.6
essay0002_sentence02,"While AI chatbots can handle routine customer inquiries efficiently, they often struggle with nuanced or emotionally sensitive conversations.",RESPONSIBILITY,6,9.1
essay0002_sentence03,Companies must ensure transparency in how they use AI systems to make hiring and promotion decisions.,EVALUATION,36,54.5
essay0002_sentence03,Companies must ensure transparency in how they use AI systems to make hiring and promotion decisions.,RESPONSIBILITY,11,16.7
essay0002_sentence03,Companies must ensure transparency in how they use AI systems to make hiring and promotion decisions.,APPLICATION,10,15.2
essay0002_sentence03,Companies must ensure transparency in how they use AI systems to make hiring and promotion decisions.,EXPLANATION,5,7.6
essay0002_sentence03,Companies must ensure transparency in how they use AI systems to make hiring and promotion decisions.,IMPLICATION,4,6.1
essay0002_sentence04,Healthcare professionals are using AI-assisted diagnostic tools to detect diseases earlier and improve patient outcomes.,RESPONSIBILITY,35,53.8
essay0002_sentence04,Healthcare professionals are using AI-assisted diagnostic tools to detect diseases earlier and improve patient outcomes.,APPLICATION,10,15.4
essay0002_sentence04,Healthcare professionals are using AI-assisted diagnostic tools to detect diseases earlier and improve patient outcomes.,EVALUATION,9,13.8
essay0002_sentence04,Healthcare professionals are using AI-assisted diagnostic tools to detect diseases earlier and improve patient outcomes.,IMPLICATION,8,12.3
essay0002_sentence04,Healthcare professionals are using AI-assisted diagnostic tools to detect diseases earlier and improve patient outcomes.,EXPLANATION,3,4.6
essay0002_sentence05,The widespread adoption of AI in creative industries may fundamentally reshape how we define authorship and intellectual property.,APPLICATION,39,60
essay0002_sentence05,The widespread adoption of AI in creative industries may fundamentally reshape how we define authorship and intellectual property.,IMPLICATION,13,20
essay0002_sentence05,The widespread adoption of AI in creative industries may fundamentally reshape how we define authorship and intellectual property.,EVALUATION,6,9.2
essay0002_sentence05,The widespread adoption of AI in creative industries may fundamentally reshape how we define authorship and intellectual property.,RESPONSIBILITY,5,7.7
essay0002_sentence05,The widespread adoption of AI in creative industries may fundamentally reshape how we define authorship and intellectual property.,EXPLANATION,2,3.1
essay0003_sentence01,"Bias in AI systems occurs when training data reflects historical prejudices, leading to unfair or discriminatory outputs.",RESPONSIBILITY,41,64.1
essay0003_sentence01,"Bias in AI systems occurs when training data reflects historical prejudices, leading to unfair or discriminatory outputs.",EXPLANATION,10,15.6
essay0003_sentence01,"Bias in AI systems occurs when training data reflects historical prejudices, leading to unfair or discriminatory outputs.",EVALUATION,8,12.5
essay0003_sentence01,"Bias in AI systems occurs when training data reflects historical prejudices, leading to unfair or discriminatory outputs.",IMPLICATION,3,4.7
essay0003_sentence01,"Bias in AI systems occurs when training data reflects historical prejudices, leading to unfair or discriminatory outputs.",APPLICATION,2,3.1
essay0003_sentence02,"Current AI language models can generate highly convincing text, but they lack genuine understanding of meaning and context.",EVALUATION,31,48.4
essay0003_sentence02,"Current AI language models can generate highly convincing text, but they lack genuine understanding of meaning and context.",EXPLANATION,10,15.6
essay0003_sentence02,"Current AI language models can generate highly convincing text, but they lack genuine understanding of meaning and context.",IMPLICATION,9,14.1
essay0003_sentence02,"Current AI language models can generate highly convincing text, but they lack genuine understanding of meaning and context.",RESPONSIBILITY,8,12.5
essay0003_sentence02,"Current AI language models can generate highly convincing text, but they lack genuine understanding of meaning and context.",APPLICATION,6,9.4
essay0003_sentence03,Developers have an ethical obligation to test their AI systems for bias and to implement safeguards against misuse.,EXPLANATION,43,68.3
essay0003_sentence03,Developers have an ethical obligation to test their AI systems for bias and to implement safeguards against misuse.,EVALUATION,8,12.7
essay0003_sentence03,Developers have an ethical obligation to test their AI systems for bias and to implement safeguards against misuse.,RESPONSIBILITY,5,7.9
essay0003_sentence03,Developers have an ethical obligation to test their AI systems for bias and to implement safeguards against misuse.,APPLICATION,5,7.9
essay0003_sentence03,Developers have an ethical obligation to test their AI systems for bias and to implement safeguards against misuse.,IMPLICATION,2,3.2
essay0003_sentence04,Citizens can use fact-checking AI tools to verify the accuracy of news articles and social media posts before sharing them.,APPLICATION,37,58.7
essay0003_sentence04,Citizens can use fact-checking AI tools to verify the accuracy of news articles and social media posts before sharing them.,EVALUATION,9,14.3
essay0003_sentence04,Citizens can use fact-checking AI tools to verify the accuracy of news articles and social media posts before sharing them.,RESPONSIBILITY,8,12.7
essay0003_sentence04,Citizens can use fact-checking AI tools to verify the accuracy of news articles and social media posts before sharing them.,EXPLANATION,5,7.9
essay0003_sentence04,Citizens can use fact-checking AI tools to verify the accuracy of news articles and social media posts before sharing them.,IMPLICATION,4,6.3
essay0003_sentence05,"Without proper governance frameworks, the rapid deployment of AI could undermine democratic processes and concentrate power in the hands of a few technology companies.",IMPLICATION,37,58.7
essay0003_sentence05,"Without proper governance frameworks, the rapid deployment of AI could undermine democratic processes and concentrate power in the hands of a few technology companies.",EVALUATION,10,15.9
essay0003_sentence05,"Without proper governance frameworks, the rapid deployment of AI could undermine democratic processes and concentrate power in the hands of a few technology companies.",RESPONSIBILITY,7,11.1
essay0003_sentence05,"Without proper governance frameworks, the rapid deployment of AI could undermine democratic processes and concentrate power in the hands of a few technology companies.",APPLICATION,5,7.9
essay0003_sentence05,"Without proper governance frameworks, the rapid deployment of AI could undermine democratic processes and concentrate power in the hands of a few technology companies.",EXPLANATION,4,6.3
